index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SUBSTANCETYPEDISORDER (CODE),SUBSTANCETYPEDISORDER (DISPLAY),SUBSTANCETYPEDISORDER (URL),SUBSTANCETYPE (CODE),SUBSTANCETYPE (DISPLAY),SUBSTANCETYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,#indicator+value+num,,,,,
1,RSUD_530,Screening and brief intervention for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2572,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,ALCOHOL_USE_AND_DISORDERS,Alcohol use and alcohol use disorders,,,,,Most (61-100%),,,,,,
2,RSUD_530,Screening and brief intervention for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2572,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,DRUG_USE_AND_DISORDERS,Drug use and drug use disorders,,,,,Most (61-100%),,,,,,
3,RSUD_540,Screening and brief intervention for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2572,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,ALCOHOL_USE_AND_DISORDERS,Alcohol use and alcohol use disorders,,,,,Most (61-100%),,,,,,
4,RSUD_540,Screening and brief intervention for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2572,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,DRUG_USE_AND_DISORDERS,Drug use and drug use disorders,,,,,Most (61-100%),,,,,,
5,RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,ALCOHOL,Alcohol,,Yes,,,,,,
6,RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,TOBACCO,Tobacco,,Yes,,,,,,
7,RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,CANNABIS,Cannabis,,Yes,,,,,,
8,RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,PRESCRIPTION_DRUGS,Prescription drugs,,Yes,,,,,,
9,RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,ALCOHOL,Alcohol,,Yes,,,,,,
10,RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,CANNABIS,Cannabis,,Yes,,,,,,
11,RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,TOBACCO,Tobacco,,Yes,,,,,,
12,RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,PRESCRIPTION_DRUGS,Prescription drugs,,Yes,,,,,,
